id,url,title,price,price_per_m2,rooms,area,floor,total_floors,address,district,city
695180126,https://krisha.kz/a/show/695180126,3-комнатная квартира · 102.67 м²,72895700,710000,3,102.67,,,"Алатауский р-н, мкр Ботакоз 2/1",Алатауский р-н,Алматы
1009982499,https://krisha.kz/a/show/1009982499,1-комнатная квартира · 36 м²,27720000,770000,1,36,,,"Алатауский р-н, Бауыржана Момышулы 11/14а",Алатауский р-н,Алматы
686655416,https://krisha.kz/a/show/686655416,1-комнатная квартира · 37.56 м²,15399600,410000,1,37.56,,,"Абайский р-н, Толеметова 106/3",Абайский р-н,Шымкент
682828219,https://krisha.kz/a/show/682828219,3-комнатная квартира · 74.6 м²,45506000,610000,3,74.6,,,"Наурызбайский р-н, мкр Таусамалы, Жандосова 70Б",Наурызбайский р-н,Алматы
684354903,https://krisha.kz/a/show/684354903,3-комнатная квартира · 116.8 м²,116800000,1000000,3,116.8,,,"Бостандыкский р-н, Жарокова 218",Бостандыкский р-н,Алматы
1010109030,https://krisha.kz/a/show/1010109030,2-комнатная квартира · 67.43 м²,30006350,445000,2,67.43,,,Наурызбай Батыра 138,Наурызбай Батыра 138,Кокшетау
1009408828,https://krisha.kz/a/show/1009408828,2-комнатная квартира · 57.1 м² · 6/18 этаж,71000000,1243433,2,57.1,6,18,"Есильский р-н, Акмешит 1",Есильский р-н,Астана
695708756,https://krisha.kz/a/show/695708756,4-комнатная квартира · 62 м² · 4/5 этаж,19500000,314516,4,62,4,5,Молдагуловой 14 — Курмангазы//,Молдагуловой 14 — Курмангазы//,Уральск
1009980697,https://krisha.kz/a/show/1009980697,2-комнатная квартира · 55.5 м²,33411000,602000,2,55.5,,,"Алатауский р-н, мкр Теректы, Райымбек 535/2",Алатауский р-н,Алматы
1010083482,https://krisha.kz/a/show/1010083482,3-комнатная квартира · 67.83 м²,44428650,655000,3,67.83,,,"Нура р-н, Хусейн бен Талал 1, 11/1-2",Нура р-н,Астана
1010082504,https://krisha.kz/a/show/1010082504,1-комнатная квартира · 43.09 м²,32374637,751326,1,43.09,,,"Нура р-н, Хусейн бен Талал 1, 11/1-2",Нура р-н,Астана
